Record_Type,Original_Entry,Year,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,NA,NA,Notes
Species,Curlew,1973,NA,NA,NA,,X,X,X,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Greater B-B Gull,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Lesser B-B Gull,1973,NA,NA,NA,,,,X,,,,,,,,X,,X,X,,,,X,X,X,,,X,X,X,X,X,X,X,NA,X,,,,,,,,,,,,,,,,NA,NA,
Species,Herring Gull,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Common Gull,1973,NA,NA,NA,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,X,,,,,,X,,X,,,,X,X,,NA,NA,
Species,Black-Headed Gull,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,X,,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Stock Dove,1973,NA,NA,NA,,,,X,,X,X,,,,X,X,,,,,,,,,,,,,,,,,,,NA,,,,,,,,X,,,,,X,X,X,,NA,NA,
Species,Wood Pigeon,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Collared Dove,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,NA,,,,,,,,X,,,,,,,,,NA,NA,
Species,Town Pigeon,1973,NA,NA,NA,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Cuckoo,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Barn Owl,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Swift,1973,NA,NA,NA,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Skylark,1973,NA,NA,NA,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Swallow,1973,NA,NA,NA,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,NA,X,X,X,X,X,X,,,,,,,,,,,NA,NA,
Species,House Martin,1973,NA,NA,NA,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,,,,,,,,,,,,,,NA,NA,
Species,Hooded Crow,1973,NA,NA,NA,,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Rook,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Jackdaw,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Magpie,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Jay,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Great Tit,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,NA,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Blue Tit,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Coal Tit,1973,NA,NA,NA,X,X,X,X,X,X,X,X,,X,X,X,X,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,NA,,,,,,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Long-Tailed Tit,1973,NA,NA,NA,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,X,X,,,,,,,X,NA,NA,
Species,Tree Creeper,1973,NA,NA,NA,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,NA,,X,,,,,,,,X,,,X,,,,NA,NA,
Species,Wren,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Mistle Thrush,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Fieldfare,1973,NA,NA,NA,X,X,X,X,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,X,,,,X,X,NA,NA,
Species,Song Thrush,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,,X,,,,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Redwing,1973,NA,NA,NA,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,X,,,,,,,X,X,NA,NA,
Species,Blackbird,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Robin,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Blackcap,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Willow Warbler,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,NA,,,,X,,,,,,,,,,,,,NA,NA,
Species,Chiff Chaff,1973,NA,NA,NA,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Goldcrest,1973,NA,NA,NA,X,X,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,,,X,,,X,NA,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,NA,NA,
Species,Flycatcher,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,X,,X,X,,,X,X,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Dunnock,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Meadow Pipit,1973,NA,NA,NA,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,NA,,,,,,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Pied Wagtail,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Grey Wagtail,1973,NA,NA,NA,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,X,X,X,,,,NA,,,,,,,,,X,X,X,,,,X,,NA,NA,
Species,Starling,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Greenfinch,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,NA,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Goldfinch,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,,,X,X,X,X,X,NA,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Siskin,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Linnet,1973,NA,NA,NA,,,,X,X,X,X,X,X,X,X,,X,X,,,,,,,,,,,,X,,X,X,,NA,,,,,,,X,,,X,,,,,,X,NA,NA,
Species,Redpoll,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Bullfinch,1973,NA,NA,NA,X,X,,,,X,,X,X,X,,X,,X,X,X,,,,X,,,,X,,X,,,X,,NA,,X,,,X,,,,,X,X,X,X,X,X,,NA,NA,
Species,Crossbill,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Chaffinch,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,,NA,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Snow Bunting,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Yellow Hammer,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Reed Bunting,1973,NA,NA,NA,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,NA,,,,,,,,,,,,,X,X,X,,NA,NA,
Species,House Sparrow,1973,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,NA,NA,
Species,Tree Sparrow,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Water Rail,1973,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Brambling,1973,NA,NA,NA,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
Species,Stonechat,1973,NA,NA,NA,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,X,,,,,,,,NA,NA,
Species,Teal,1973,NA,NA,NA,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,NA,
