Record_Type,Original_Entry,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,NA,NA,Notes
Species,Woodcock,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Curlew,1974,,O30,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,O,,,U,O,O,O,,,,NA,NA,
Species,Greater B-B Gull,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Lesser B-B Gull,1974,,O,,O,,,,,,,,,,,NA,,,,,,,O,,O,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,,,,,,,,,,,,NA,NA,
Species,Herring Gull,1974,A,A,A,A,A,A,A,A,A,A,A,A,A,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Common Gull,1974,,U,O,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,F,,,U,,,,,,,O,,,,,NA,NA,
Species,Black-Headed Gull,1974,,A,A,A,A,A,A,A,F,C2,2C6,U,U1,,NA,U1,U1,,,,,O,O,F,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Stock Dove,1974,,,,,,,,,,,,,O,O,NA,,,O,O,O,O,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,O,O,,,,,,,,,,,,,,NA,NA,
Species,Wood Pigeon,1974,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Collared Dove,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Town Pigeon,1974,U,U,U,U,U,U,U,U,U,U,F,F,F,F,NA,F,F,F,F,F,F,F,F,F,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,F,F,U,F,F,F,C,F,F,F,F,F,F,F,F,NA,NA,
Species,Cuckoo,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Barn Owl,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Swift,1974,,,,,,,,,,,,,,,NA,,,O,A,A,A,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,C,,,,,,,,,,,,,,NA,NA,
Species,Skylark,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Swallow,1974,,,,,,,,,,,,,,,NA,O,,O,O,C,C,C,C,C,NA,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,A,A,C,,O,O,,,,,,,,,,NA,NA,
Species,House Martin,1974,,,,,,,,,,,,,,,NA,,,,O,C,C,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,U,U,C,,,,,,,,,,,,,NA,NA,
Species,Hooded Crow,1974,U,U,U,U,F2,F2,U,U2,U,U,U,U,U,U,NA,F,F,F,F,F,F,F,F,F,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,U,U,F,C,F,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Rook,1974,F,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Jackdaw,1974,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Magpie,1974,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Jay,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Great Tit,1974,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Blue Tit,1974,C,C,C,C,C,C,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Coal Tit,1974,,U,U,U,U,U,U,U,U,U,U,U,U,U,NA,F,U,O,O,,,,O4,U,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,O,O,O,,O,O,,U,U,U,U,,U,NA,NA,
Species,Long-Tailed Tit,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,O10,,,,,,,,,,,,,NA,NA,
Species,Tree Creeper,1974,,,,,,,,,,,,,,,NA,,,,,,,,O,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Wren,1974,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Mistle Thrush,1974,C,A,A,A,A,A,A,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Fieldfare,1974,F100,10F50,50F,F100,F100,U,F100,F100,F100,F50,U100,O30,U12,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,O,U,,,,O20,NA,NA,
Species,Song Thrush,1974,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Redwing,1974,F20,12F,1C10,C6,C6,U,F15,10F30,F10,F20,U12,O10,U6,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,O,O,,,,,,NA,NA,
Species,Blackbird,1974,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,
Species,Stonechat,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Water Rail,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Robin,1974,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Blackcap,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Willow Warbler,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Chiff Chaff,1974,,,,,,,,,,,,,,O,NA,F1,F1,,O,U,U,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Goldcrest,1974,,O,,,,,U2,,U,,,U,U,U,NA,U,F,U,U,O,U,U,F,U,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,U,,U,U,U,U,U,U,U,U,U,U,U,U,U,NA,NA,
Species,Flycatcher,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Dunnock,1974,F,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Meadow Pipit,1974,,,1U12,,,,,,O,,,O10,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,O12,F,F,F,F,C,C,C,C,C,C,C,NA,NA,
Species,Pied Wagtail,1974,A,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,F,F,F,F,F,F,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Grey Wagtail,1974,O,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Starling,1974,C,20C,A,C,F,C,F,C,C20,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Greenfinch,1974,F,F,1F12,F,F,F,F,F,F,F,F,C,F,F,NA,C,C,C,C,C,F,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,NA,NA,
Species,Goldfinch,1974,,O,O,,,,U,,O,,,,,,NA,U,U,,O,,O,U,,U,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,U12,U,U,U,,,,,,,,,,,NA,NA,
Species,Siskin,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Linnet,1974,,,,,,,,,,,,O10,,,NA,F6,F,U,U,O,U,U,U,O,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,O,O,U,U,U,O,,,,,NA,NA,
Species,Redpoll,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Bullfinch,1974,,,U,,,,,,O2,,U2,U2,U,,NA,O,O,O,,U,U,,O,O,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,U,,U,U,,U,U,U,,O,O,,,,,NA,NA,
Species,Crossbill,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Chaffinch,1974,U,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,,,,O,,,C,C,C,C,C,A,NA,NA,
Species,Snow Bunting,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Yellow Hammer,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Reed Bunting,1974,,,,,,,,,,,,O1,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,House Sparrow,1974,C,C,F8,F,F,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,
Species,Tree Sparrow,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Brambling,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,O,NA,NA,
Species,Redshank,1974,,O,,,U,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Kingfisher,1974,,,,,O,,,,,,,,,,NA,,,,O,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
